wl,n,k,Calculated from the cauchy_equation workbook
0.644,1.691549883,0,
0.645,1.691419038,0,
0.646,1.691288923,0,
0.647,1.691159533,0,
0.648,1.691030862,0,
0.649,1.690902904,0,
0.65,1.690775655,0,
0.651,1.69064911,0,
0.652,1.690523262,0,
0.653,1.690398107,0,
0.654,1.69027364,0,
0.655,1.690149856,0,
0.656,1.690026749,0,
0.657,1.689904315,0,
0.658,1.689782549,0,
0.659,1.689661446,0,
0.66,1.689541001,0,
0.661,1.689421209,0,
0.662,1.689302065,0,
0.663,1.689183566,0,
0.664,1.689065705,0,
0.665,1.688948479,0,
0.666,1.688831883,0,
0.667,1.688715913,0,
0.668,1.688600563,0,
0.669,1.68848583,0,
0.67,1.688371709,0,
0.671,1.688258195,0,
0.672,1.688145285,0,
0.673,1.688032973,0,
0.674,1.687921257,0,
0.675,1.687810131,0,
0.676,1.687699591,0,
0.677,1.687589634,0,
0.678,1.687480254,0,
0.679,1.687371449,0,
0.68,1.687263213,0,
0.681,1.687155544,0,
0.682,1.687048436,0,
0.683,1.686941886,0,
0.684,1.686835891,0,
0.685,1.686730446,0,
0.686,1.686625547,0,
0.687,1.686521191,0,
0.688,1.686417374,0,
0.689,1.686314092,0,
0.69,1.686211341,0,
0.691,1.686109118,0,
0.692,1.686007419,0,
0.693,1.685906241,0,
0.694,1.685805579,0,
0.695,1.685705431,0,
0.696,1.685605793,0,
0.697,1.685506661,0,
0.698,1.685408032,0,
0.699,1.685309903,0,
0.7,1.68521227,0,
0.701,1.685115129,0,
0.702,1.685018478,0,
0.703,1.684922313,0,
0.704,1.684826631,0,
0.705,1.684731428,0,
0.706,1.684636702,0,
0.707,1.684542449,0,
0.708,1.684448665,0,
0.709,1.684355349,0,
0.71,1.684262496,0,
0.711,1.684170104,0,
0.712,1.684078169,0,
0.713,1.683986689,0,
0.714,1.68389566,0,
0.715,1.683805079,0,
0.716,1.683714944,0,
0.717,1.683625252,0,
0.718,1.683535999,0,
0.719,1.683447183,0,
0.72,1.683358801,0,
0.721,1.68327085,0,
0.722,1.683183327,0,
0.723,1.683096229,0,
0.724,1.683009554,0,
0.725,1.682923299,0,
0.726,1.682837461,0,
0.727,1.682752037,0,
0.728,1.682667025,0,
0.729,1.682582422,0,
0.73,1.682498226,0,
0.731,1.682414433,0,
0.732,1.682331041,0,
0.733,1.682248048,0,
0.734,1.682165451,0,
0.735,1.682083248,0,
0.736,1.682001435,0,
0.737,1.681920011,0,
0.738,1.681838973,0,
0.739,1.681758319,0,
0.74,1.681678045,0,
0.741,1.68159815,0,
0.742,1.681518632,0,
0.743,1.681439487,0,
0.744,1.681360714,0,
0.745,1.68128231,0,
0.746,1.681204273,0,
0.747,1.6811266,0,
0.748,1.681049289,0,
0.749,1.680972339,0,
0.75,1.680895746,0,
0.751,1.680819509,0,
0.752,1.680743625,0,
0.753,1.680668092,0,
0.754,1.680592908,0,
