wl,n,k
0.54908,1.86452071,0.003235304
0.55067,1.86296604,0.003223632
0.55226,1.86141254,0.003212558
0.55384,1.85986012,0.003202071
0.55543,1.85830872,0.003192161
0.55702,1.85675824,0.003182817
0.55861,1.85520862,0.003174028
0.5602,1.85365978,0.003165785
0.56178,1.8521117,0.003158079
0.56337,1.8505642,0.003150899
0.56496,1.84901726,0.003144236
0.56655,1.84747086,0.003138082
0.56814,1.84592483,0.003132428
0.56972,1.84437921,0.003127266
0.57131,1.84283388,0.003122587
0.5729,1.84128872,0.003118383
0.57449,1.83974377,0.003114647
0.57607,1.8381989,0.003111372
0.57766,1.83665412,0.00310855
0.57925,1.83510926,0.003106173
0.58084,1.8335643,0.003104235
0.58242,1.83201924,0.00310273
0.58401,1.83047397,0.00310165
0.5856,1.82892843,0.00310099
0.58718,1.82738256,0.003100742
0.58877,1.8258363,0.003100902
0.59036,1.82428966,0.003101463
0.59195,1.82274246,0.00310242
0.59353,1.82119477,0.003103767
0.59512,1.81964647,0.003105499
0.59671,1.81809757,0.00310761
0.59829,1.81654791,0.003110095
0.59988,1.81499753,0.00311295
0.60147,1.81344635,0.00311617
0.60305,1.8118943,0.00311975
0.60464,1.81034139,0.003123685
0.60623,1.80878748,0.003127972
0.60781,1.80723261,0.003132605
0.6094,1.80567673,0.00313758
0.61098,1.8041197,0.003142895
0.61257,1.80256157,0.003148544
0.61416,1.80100225,0.003154524
0.61574,1.79944173,0.00316083
0.61733,1.79787989,0.003167461
0.61891,1.79631676,0.003174411
0.6205,1.79475232,0.003181678
0.62209,1.79318641,0.003189258
0.62367,1.79161909,0.003197149
0.62526,1.79005032,0.003205346
0.62684,1.78847996,0.003213847
0.62843,1.78690807,0.003222649
0.63001,1.78533461,0.003231748
0.6316,1.78375948,0.003241144
0.63318,1.78218266,0.003250832
0.63477,1.78060409,0.00326081
0.63635,1.77902379,0.003271075
0.63794,1.77744167,0.003281625
0.63952,1.77585774,0.003292458
0.64111,1.77427191,0.003303572
0.64269,1.77268421,0.003314963
0.64428,1.77109453,0.00332663
0.64586,1.76950285,0.003338571
0.64745,1.76790917,0.003350784
0.64903,1.76631342,0.003363266
0.65062,1.76471561,0.003376017
0.6522,1.76311564,0.003389033
0.65379,1.76151354,0.003402314
0.65537,1.75990922,0.003415857
0.65696,1.7583027,0.003429661
0.65854,1.75669389,0.003443724
0.66012,1.75508276,0.003458046
0.66171,1.75346933,0.003472623
0.66329,1.75185356,0.003487454
0.66488,1.75023537,0.00350254
0.66646,1.74861478,0.003517877
0.66804,1.74699171,0.003533465
0.66963,1.74536611,0.003549302
0.67121,1.74373807,0.003565388
0.67279,1.7421074,0.003581721
0.67438,1.74047422,0.003598299
0.67596,1.7388384,0.003615122
0.67754,1.7371999,0.00363219
0.67913,1.73555875,0.0036495
0.68071,1.73391492,0.003667053
0.68229,1.73226832,0.003684846
0.68388,1.73061898,0.00370288
0.68546,1.72896681,0.003721153
0.68704,1.72731184,0.003739665
0.68862,1.72565404,0.003758414
0.69021,1.72399333,0.003777401
0.69179,1.72232972,0.003796625
0.69337,1.7206632,0.003816084
0.69495,1.71899368,0.003835779
0.69654,1.71732118,0.003855708
0.69812,1.71564562,0.003875872
0.6997,1.71396708,0.003896269
0.70128,1.71228538,0.003916901
0.70287,1.71060065,0.003937764
0.70445,1.70891274,0.003958861
0.70603,1.70722169,0.003980189
0.70761,1.70552747,0.00400175
0.70919,1.70383,0.004023542
0.71077,1.7021293,0.004045565
0.71236,1.70042535,0.00406782
0.71394,1.69871811,0.004090304
0.71552,1.69700752,0.004113021
0.7171,1.6952936,0.004135967
0.71868,1.69357632,0.004159144
0.72026,1.69185559,0.004182552
0.72184,1.69013145,0.004206189
0.72342,1.68840388,0.004230057
0.725,1.68667284,0.004254155
0.72659,1.6849383,0.004278483
0.72817,1.6832002,0.004303042
0.72975,1.68145861,0.004327831
0.73133,1.67971339,0.00435285
0.73291,1.67796452,0.004378101
0.73449,1.67621209,0.004403582
0.73607,1.67445601,0.004429293
0.73765,1.6726962,0.004455236
0.73923,1.67093269,0.004481411
0.74081,1.66916546,0.004507816
0.74239,1.66739449,0.004534454
0.74397,1.66561973,0.004561323
0.74555,1.66384113,0.004588426
0.74713,1.66205875,0.00461576
0.74871,1.66027247,0.004643329
0.75029,1.65848237,0.004671129
0.75186,1.65668831,0.004699165
0.75344,1.65489032,0.004727435
0.75502,1.65308839,0.004755939
0.7566,1.65128248,0.004784678
0.75818,1.64947257,0.004813654
0.75976,1.64765857,0.004842866
0.76134,1.64584058,0.004872314
0.76292,1.64401852,0.004901999
0.7645,1.64219229,0.004931923
0.76607,1.640362,0.004962085
0.76765,1.6385275,0.004992487
0.76923,1.63668888,0.005023127
0.77081,1.634846,0.005054009
0.77239,1.63299896,0.005085131
0.77396,1.6311476,0.005116495
0.77554,1.62929203,0.005148101
0.77712,1.62743215,0.00517995
0.7787,1.62556789,0.005212045
0.78028,1.62369934,0.005244383
0.78185,1.62182635,0.005276968
0.78343,1.61994902,0.005309798
0.78501,1.61806727,0.005342875
0.78659,1.616181,0.005376202
0.78816,1.61429032,0.005409776
0.78974,1.61239513,0.005443601
0.79132,1.61049542,0.005477676
0.79289,1.60859115,0.005512003
0.79447,1.60668231,0.005546583
0.79605,1.60476887,0.005581417
0.79762,1.60285079,0.005616505
0.7992,1.60092812,0.005651849
0.80077,1.59900072,0.00568745
0.80235,1.59706866,0.005723308
0.80393,1.59513188,0.005759425
0.8055,1.59319034,0.005795802
0.80708,1.59124402,0.005832441
0.80865,1.5892929,0.005869342
0.81023,1.58733694,0.005906506
0.81181,1.58537618,0.005943934
0.81338,1.58341053,0.005981629
0.81496,1.58143992,0.006019591
0.81653,1.57946449,0.00605782
0.81811,1.57748403,0.00609632
0.81968,1.57549865,0.006135089
0.82126,1.57350819,0.006174133
0.82283,1.57151268,0.00621345
0.82441,1.56951223,0.006253039
0.82598,1.56750669,0.006292905
0.82755,1.5654959,0.006333052
0.82913,1.56348008,0.006373475
0.8307,1.56145909,0.00641418
0.83228,1.55943302,0.006455163
0.83385,1.5574016,0.006496434
0.83543,1.55536492,0.006537989
0.837,1.55332308,0.006579829
0.83857,1.55127592,0.006621957
0.84015,1.54922331,0.006664377
0.84172,1.54716545,0.006707087
0.84329,1.54510232,0.006750087
0.84487,1.54303365,0.006793384
0.84644,1.54095952,0.006836978
0.84801,1.53888004,0.006880868
0.84959,1.53679506,0.006925057
0.85116,1.53470454,0.006969549
0.85273,1.53260845,0.007014343
0.8543,1.53050677,0.007059443
0.85588,1.5283996,0.007104848
0.85745,1.52628665,0.007150564
0.85902,1.52416815,0.007196588
0.86059,1.52204394,0.007242925
0.86216,1.51991412,0.007289573
0.86374,1.51777841,0.007336541
0.86531,1.51563702,0.007383825
0.86688,1.51348981,0.007431429
0.86845,1.51133674,0.007479356
0.87002,1.50917778,0.007527608
0.87159,1.50701291,0.007576186
0.87316,1.50484221,0.007625091
0.87474,1.50266554,0.007674326
0.87631,1.50048286,0.007723895
0.87788,1.49829426,0.007773796
0.87945,1.49609946,0.007824037
0.88102,1.49389869,0.007874616
0.88259,1.49169178,0.007925537
0.88416,1.48947884,0.007976799
0.88573,1.48725957,0.008028411
0.8873,1.48503419,0.008080369
0.88887,1.48280255,0.008132679
0.89044,1.48056461,0.008185343
0.89201,1.47832047,0.008238361
0.89358,1.47606997,0.008291738
0.89515,1.47381308,0.008345476
0.89672,1.47154989,0.008399575
0.89829,1.46928009,0.008454045
0.89986,1.46700393,0.008508881
0.90142,1.46472124,0.008564088
0.90299,1.46243212,0.008619668
0.90456,1.46013639,0.008675625
0.90613,1.45783403,0.008731963
0.9077,1.45552498,0.008788684
0.90927,1.45320938,0.008845788
0.91083,1.45088702,0.008903281
0.9124,1.44855788,0.008961166
0.91397,1.44622207,0.009019442
0.91554,1.4438794,0.009078117
0.91711,1.44152984,0.009137193
0.91867,1.43917349,0.009196669
0.92024,1.43681018,0.009256553
0.92181,1.43443985,0.009316847
0.92338,1.43206263,0.009377552
0.92494,1.42967833,0.009438674
0.92651,1.42728691,0.009500216
0.92808,1.42488832,0.009562182
0.92964,1.42248269,0.009624572
0.93121,1.42006996,0.009687388
0.93278,1.4176498,0.009750643
0.93434,1.41522247,0.009814331
0.93591,1.41278793,0.009878457
0.93747,1.41034584,0.009943032
0.93904,1.40789645,0.010008052
0.94061,1.40543973,0.010073521
0.94217,1.40297548,0.010139446
0.94374,1.40050366,0.010205831
0.9453,1.39802422,0.01027268
0.94687,1.39553728,0.010339993
0.94843,1.39304279,0.010407775
0.95,1.39054056,0.010476033
0.95156,1.38803054,0.010544771
0.95313,1.38551268,0.010613994
0.95469,1.3829871,0.010683701
0.95625,1.38045359,0.010753902
0.95782,1.37791226,0.010824597
0.95938,1.37536292,0.010895793
0.96095,1.37280567,0.010967492
0.96251,1.3702403,0.011039702
0.96407,1.36766677,0.011112428
0.96564,1.36508519,0.01118567
0.9672,1.36249535,0.011259438
0.96876,1.35989737,0.011333731
0.97033,1.35729102,0.01140856
0.97189,1.35467642,0.011483924
0.97345,1.35205337,0.011559834
0.97502,1.3494218,0.011636294
0.97658,1.34678183,0.011713306
0.97814,1.34413341,0.011790873
0.9797,1.34147616,0.011869013
0.98126,1.33881051,0.011947714
0.98283,1.33613592,0.012026998
0.98439,1.33345283,0.012106856
0.98595,1.33076069,0.012187307
0.98751,1.32805977,0.012268348
0.98907,1.32535001,0.012349986
0.99063,1.32263121,0.01243223
0.9922,1.31990345,0.012515081
0.99376,1.31716652,0.012598552
0.99532,1.31442054,0.012682643
0.99688,1.31166526,0.012767367
0.99844,1.30890062,0.012852728
1,1.30612675,0.012938729
