Wavelength (nm)	Reflectance
602	0.3095408
603	0.3046792
604	0.2996262
605	0.2943897
606	0.2889355
607	0.2833116
608	0.2775275
609	0.2715931
610	0.2655187
611	0.2593635
612	0.2530932
613	0.2467199
614	0.2402604
615	0.233736
616	0.2270981
617	0.2204119
618	0.2136933
619	0.2069593
620	0.2002258
621	0.1935084
622	0.1868281
623	0.1802036
624	0.1736558
625	0.1672018
626	0.1609075
627	0.1547511
628	0.1487448
629	0.142906
630	0.1372547
631	0.1318085
632	0.1265844
633	0.1216019
634	0.1168782
635	0.1124253
636	0.1082316
637	0.104344
638	0.1007742
639	0.0975335
640	0.0946303
641	0.0920871
642	0.0898923
643	0.0880477
644	0.0865581
645	0.0854279
646	0.0846627
647	0.0842682
648	0.0842367
649	0.0845641
650	0.0852492
651	0.0862622
652	0.0876071
653	0.0892801
654	0.0912715
655	0.0935639
656	0.096145
657	0.0990108
658	0.1021384
659	0.1055132
660	0.1091134
661	0.1129668
662	0.1170249
663	0.1212717
664	0.1256933
665	0.1302715
666	0.1349404
667	0.1397346
668	0.1446396
669	0.1496375
670	0.1547139
671	0.1598551
672	0.1650474
673	0.1702777
674	0.1755343
675	0.1808081
676	0.1860841
677	0.1913515
678	0.1966061
679	0.2018383
680	0.2070329
681	0.2122326
682	0.2173822
683	0.2224702
684	0.2274883
685	0.23243
686	0.237244
687	0.2419716
688	0.2466077
689	0.2511474
690	0.2555853
691	0.2599193
692	0.264146
693	0.2682621
694	0.2722647
695	0.2761517
696	0.2799211
697	0.2835689
698	0.2870938
699	0.2904962
700	0.2937749
701	0.2969326
702	0.2999679
703	0.3028772
704	0.3056601
705	0.3083169
706	0.3108473
707	0.3132508
708	0.3155275
709	0.3176716
710	0.3196843
711	0.3215708
712	0.3233315
713	0.3249781
714	0.3265125
715	0.3279229
716	0.3292099
717	0.3303798
718	0.3314379
719	0.3323748
720	0.3331912
721	0.3338899
722	0.3344617
723	0.3349144
724	0.3352489
725	0.3354661
726	0.3355607
727	0.3355398
728	0.3354042
729	0.3351552
730	0.3348031
731	0.3343455
732	0.3337786
733	0.3331033
734	0.3323236
735	0.3314423
736	0.3304556
737	0.3293647
738	0.3281703
739	0.3268592
740	0.3254472
741	0.3239355
742	0.3223254
743	0.3206161
744	0.3188096
745	0.3169083
746	0.3149137
747	0.3128263
748	0.310643
749	0.3083705
750	0.3060102
751	0.3035637
752	0.3010426
753	0.2984448
754	0.2957656
755	0.2930066
756	0.2901698
757	0.2872692
758	0.2842943
759	0.2812472
760	0.2781296
761	0.2749614
762	0.2717307
763	0.2684367
764	0.2650817
