wl,n,k,Calculated from the cauchy_equation workbook
0.644,1.428059703,0,
0.645,1.428028715,0,
0.646,1.427997871,0,
0.647,1.42796717,0,
0.648,1.42793661,0,
0.649,1.42790619,0,
0.65,1.427875911,0,
0.651,1.427845771,0,
0.652,1.427815769,0,
0.653,1.427785904,0,
0.654,1.427756176,0,
0.655,1.427726583,0,
0.656,1.427697126,0,
0.657,1.427667802,0,
0.658,1.427638611,0,
0.659,1.427609553,0,
0.66,1.427580627,0,
0.661,1.427551831,0,
0.662,1.427523166,0,
0.663,1.42749463,0,
0.664,1.427466222,0,
0.665,1.427437942,0,
0.666,1.427409789,0,
0.667,1.427381762,0,
0.668,1.42735386,0,
0.669,1.427326083,0,
0.67,1.42729843,0,
0.671,1.427270901,0,
0.672,1.427243494,0,
0.673,1.427216208,0,
0.674,1.427189044,0,
0.675,1.427162,0,
0.676,1.427135075,0,
0.677,1.42710827,0,
0.678,1.427081583,0,
0.679,1.427055013,0,
0.68,1.42702856,0,
0.681,1.427002223,0,
0.682,1.426976002,0,
0.683,1.426949895,0,
0.684,1.426923903,0,
0.685,1.426898024,0,
0.686,1.426872258,0,
0.687,1.426846604,0,
0.688,1.426821061,0,
0.689,1.42679563,0,
0.69,1.426770308,0,
0.691,1.426745096,0,
0.692,1.426719994,0,
0.693,1.426694999,0,
0.694,1.426670112,0,
0.695,1.426645332,0,
0.696,1.426620659,0,
0.697,1.426596092,0,
0.698,1.426571629,0,
0.699,1.426547272,0,
0.7,1.426523018,0,
0.701,1.426498868,0,
0.702,1.426474821,0,
0.703,1.426450876,0,
0.704,1.426427033,0,
0.705,1.426403291,0,
0.706,1.42637965,0,
0.707,1.426356109,0,
0.708,1.426332667,0,
0.709,1.426309324,0,
0.71,1.426286079,0,
0.711,1.426262932,0,
0.712,1.426239882,0,
0.713,1.426216929,0,
0.714,1.426194072,0,
0.715,1.426171311,0,
0.716,1.426148645,0,
0.717,1.426126073,0,
0.718,1.426103596,0,
0.719,1.426081212,0,
0.72,1.426058921,0,
0.721,1.426036722,0,
0.722,1.426014615,0,
0.723,1.4259926,0,
0.724,1.425970676,0,
0.725,1.425948842,0,
0.726,1.425927098,0,
0.727,1.425905444,0,
0.728,1.425883878,0,
0.729,1.425862401,0,
0.73,1.425841013,0,
0.731,1.425819711,0,
0.732,1.425798497,0,
0.733,1.425777369,0,
0.734,1.425756327,0,
0.735,1.425735371,0,
0.736,1.4257145,0,
0.737,1.425693714,0,
0.738,1.425673012,0,
0.739,1.425652394,0,
0.74,1.42563186,0,
0.741,1.425611408,0,
0.742,1.425591038,0,
0.743,1.425570751,0,
0.744,1.425550545,0,
0.745,1.42553042,0,
0.746,1.425510376,0,
0.747,1.425490413,0,
0.748,1.425470529,0,
0.749,1.425450724,0,
0.75,1.425430999,0,
0.751,1.425411352,0,
0.752,1.425391783,0,
0.753,1.425372293,0,
0.754,1.425352879,0,
0.755,1.425333542,0,
0.756,1.425314282,0,
0.757,1.425295098,0,
0.758,1.42527599,0,
0.759,1.425256957,0,
0.76,1.425237999,0,
